ID,TYPE,USER_ID,GENDER,AGE,name,size_mb
1,1,1,MALE,25,000001_1_000001_MALE_25.jpg,1.8012981414794922
1,2,1,MALE,25,000001_2_000001_MALE_25.jpg,1.7385578155517578
1,3,1,MALE,25,000001_3_000001_MALE_25.jpg,1.7996673583984375
1,4,1,MALE,25,000001_4_000001_MALE_25.jpg,1.7402639389038086
2,1,2,MALE,23,000002_1_000002_MALE_23.jpg,1.5496950149536133
2,2,2,MALE,23,000002_2_000002_MALE_23.jpg,1.6311140060424805
2,3,2,MALE,23,000002_3_000002_MALE_23.jpg,1.3796100616455078
2,4,2,MALE,23,000002_4_000002_MALE_23.jpg,1.3732852935791016
3,1,3,FEMALE,22,000003_1_000003_FEMALE_22.jpg,0.4342336654663086
3,2,3,FEMALE,22,000003_2_000003_FEMALE_22.jpg,0.37020397186279297
3,3,3,FEMALE,22,000003_3_000003_FEMALE_22.jpg,0.4103813171386719
3,4,3,FEMALE,22,000003_4_000003_FEMALE_22.jpg,0.4275035858154297
4,1,4,FEMALE,25,000004_1_000004_FEMALE_25.jpg,1.7710762023925781
4,2,4,FEMALE,25,000004_2_000004_FEMALE_25.jpg,1.6865663528442383
4,3,4,FEMALE,25,000004_3_000004_FEMALE_25.jpg,1.6461763381958008
4,4,4,FEMALE,25,000004_4_000004_FEMALE_25.jpg,1.5438776016235352
5,1,5,MALE,67,000005_1_000005_MALE_67.jpg,1.182398796081543
5,2,5,MALE,67,000005_2_000005_MALE_67.jpg,1.1648101806640625
5,3,5,MALE,67,000005_3_000005_MALE_67.jpg,0.9751100540161133
5,4,5,MALE,67,000005_4_000005_MALE_67.jpg,0.9359273910522461
6,1,6,MALE,28,000006_1_000006_MALE_28.jpg,2.1334590911865234
6,2,6,MALE,28,000006_2_000006_MALE_28.jpg,1.877243995666504
6,3,6,MALE,28,000006_3_000006_MALE_28.jpg,1.7052555084228516
6,4,6,MALE,28,000006_4_000006_MALE_28.jpg,1.5240497589111328
7,1,7,MALE,44,000007_1_000007_MALE_44.jpg,0.42997169494628906
7,2,7,MALE,44,000007_2_000007_MALE_44.jpg,0.4463672637939453
7,3,7,MALE,44,000007_3_000007_MALE_44.jpg,0.4898090362548828
7,4,7,MALE,44,000007_4_000007_MALE_44.jpg,0.4276599884033203
8,1,8,MALE,30,000008_1_000008_MALE_30.jpg,0.9654483795166016
8,2,8,MALE,30,000008_2_000008_MALE_30.jpg,0.9616308212280273
8,3,8,MALE,30,000008_3_000008_MALE_30.jpg,0.8710308074951172
8,4,8,MALE,30,000008_4_000008_MALE_30.jpg,0.8983526229858398
9,1,9,MALE,23,000009_1_000009_MALE_23.jpg,1.7855539321899414
9,2,9,MALE,23,000009_2_000009_MALE_23.jpg,1.7272825241088867
9,3,9,MALE,23,000009_3_000009_MALE_23.jpg,1.7715530395507812
9,4,9,MALE,23,000009_4_000009_MALE_23.jpg,1.7477893829345703
10,1,10,MALE,24,000010_1_000010_MALE_24.jpg,3.4481868743896484
10,2,10,MALE,24,000010_2_000010_MALE_24.jpg,3.3331966400146484
10,3,10,MALE,24,000010_3_000010_MALE_24.jpg,3.44180965423584
10,4,10,MALE,24,000010_4_000010_MALE_24.jpg,3.758220672607422
11,1,11,NONE,37,000011_1_000011_NONE_37.jpg,1.7818336486816406
11,2,11,NONE,37,000011_2_000011_NONE_37.jpg,1.80169677734375
11,3,11,NONE,37,000011_3_000011_NONE_37.jpg,1.734334945678711
11,4,11,NONE,37,000011_4_000011_NONE_37.jpg,1.7135047912597656
12,1,12,MALE,20,000012_1_000012_MALE_20.jpg,3.6749801635742188
12,2,12,MALE,20,000012_2_000012_MALE_20.jpg,3.6718626022338867
12,3,12,MALE,20,000012_3_000012_MALE_20.jpg,3.5646181106567383
12,4,12,MALE,20,000012_4_000012_MALE_20.jpg,3.6334447860717773
13,1,13,MALE,27,000013_1_000013_MALE_27.jpg,1.574030876159668
13,2,13,MALE,27,000013_2_000013_MALE_27.jpg,1.5125036239624023
13,3,13,MALE,27,000013_3_000013_MALE_27.jpg,1.5908222198486328
13,4,13,MALE,27,000013_4_000013_MALE_27.jpg,1.7487306594848633
14,1,14,MALE,27,000014_1_000014_MALE_27.jpg,2.1898441314697266
14,2,14,MALE,27,000014_2_000014_MALE_27.jpg,2.2835206985473633
14,3,14,MALE,27,000014_3_000014_MALE_27.jpg,2.1295852661132812
14,4,14,MALE,27,000014_4_000014_MALE_27.jpg,2.304408073425293
15,1,15,FEMALE,31,000015_1_000015_FEMALE_31.jpg,2.8924007415771484
15,2,15,FEMALE,31,000015_2_000015_FEMALE_31.jpg,2.932175636291504
15,3,15,FEMALE,31,000015_3_000015_FEMALE_31.jpg,2.8598852157592773
15,4,15,FEMALE,31,000015_4_000015_FEMALE_31.jpg,2.7339000701904297
16,1,16,MALE,33,000016_1_000016_MALE_33.jpg,0.9370870590209961
16,2,16,MALE,33,000016_2_000016_MALE_33.jpg,0.8891563415527344
